_id,userId,timestamp,sessionId,itemsCollected,pickupAttempts,timeNearInteractables,enemiesHit,damageDone,timeInCombat,distanceTraveled,timeOutOfCombat,timeSprinting,kills,died,rawJson.user_id,rawJson.session_id,rawJson.timestamp,rawJson.items_collected,rawJson.pickup_attempts,rawJson.time_near_interactables,rawJson.enemies_hit,rawJson.damage_done,rawJson.time_in_combat,rawJson.distance_traveled,rawJson.time_out_of_combat,rawJson.time_sprinting,rawJson.kills,rawJson.deaths,__v
6974894b48d53c4152cf142a,6974892348d53c4152cf1421,2026-01-24T14:26:43.613Z,unreal_1769245003613,0,0,0,0,0,0,1944.9910142756917,30,0,0,false,6974892348d53c4152cf1421,unreal_1769245003613,2026-01-24T14:26:43.613Z,0,0,0,0,0,0,1944.9910142756917,30,0,0,0,0
6974896948d53c4152cf1461,6974892348d53c4152cf1421,2026-01-24T14:27:13.617Z,unreal_1769245033617,3,5,7,0,0,0,11856.790567850418,29.5,5,0,false,6974892348d53c4152cf1421,unreal_1769245033617,2026-01-24T14:27:13.617Z,3,5,7,0,0,0,11856.790567850418,29.5,5,0,0,0
6974898748d53c4152cf148d,6974892348d53c4152cf1421,2026-01-24T14:27:43.607Z,unreal_1769245063607,1,2,2,0,0,0,12892.331655970096,30.5,4,0,false,6974892348d53c4152cf1421,unreal_1769245063607,2026-01-24T14:27:43.607Z,1,2,2,0,0,0,12892.331655970096,30.5,4,0,0,0
697489a548d53c4152cf14b7,6974892348d53c4152cf1421,2026-01-24T14:28:13.601Z,unreal_1769245093601,3,3,4,0,0,0,11631.62363593083,30,0,0,false,6974892348d53c4152cf1421,unreal_1769245093601,2026-01-24T14:28:13.601Z,3,3,4,0,0,0,11631.62363593083,30,0,0,0,0
697489c348d53c4152cf14e4,6974892348d53c4152cf1421,2026-01-24T14:28:43.579Z,unreal_1769245123579,1,11,8,1,8,2,11506.892366128828,28,0,0,false,6974892348d53c4152cf1421,unreal_1769245123579,2026-01-24T14:28:43.579Z,1,11,8,1,8,2,11506.892366128828,28,0,0,0,0
697489e148d53c4152cf151a,6974892348d53c4152cf1421,2026-01-24T14:29:13.610Z,unreal_1769245153610,0,0,0,24,165.33333333333331,15.5,6715.704982704047,14,0,3,false,6974892348d53c4152cf1421,unreal_1769245153610,2026-01-24T14:29:13.610Z,0,0,0,24,165.33333333333331,15.5,6715.704982704047,14,0,3,0,0
697489ff48d53c4152cf155f,6974892348d53c4152cf1421,2026-01-24T14:29:43.588Z,unreal_1769245183588,1,1,1,7,64,6.5,11550.289357671445,24,11.5,1,false,6974892348d53c4152cf1421,unreal_1769245183588,2026-01-24T14:29:43.588Z,1,1,1,7,64,6.5,11550.289357671445,24,11.5,1,0,0
69748a1d48d53c4152cf15a2,6974892348d53c4152cf1421,2026-01-24T14:30:13.597Z,unreal_1769245213597,1,2,1,0,0,0,13600.555053400638,30,12,0,false,6974892348d53c4152cf1421,unreal_1769245213597,2026-01-24T14:30:13.597Z,1,2,1,0,0,0,13600.555053400638,30,12,0,0,0
69748a3b48d53c4152cf15dc,6974892348d53c4152cf1421,2026-01-24T14:30:43.585Z,unreal_1769245243585,2,3,4,0,0,0,11914.748821387466,29.5,1.5,0,false,6974892348d53c4152cf1421,unreal_1769245243585,2026-01-24T14:30:43.585Z,2,3,4,0,0,0,11914.748821387466,29.5,1.5,0,0,0
69748a5948d53c4152cf1619,6974892348d53c4152cf1421,2026-01-24T14:31:13.610Z,unreal_1769245273610,2,5,7,0,0,0,13021.43720402451,30,7.5,0,false,6974892348d53c4152cf1421,unreal_1769245273610,2026-01-24T14:31:13.610Z,2,5,7,0,0,0,13021.43720402451,30,7.5,0,0,0
69748a7748d53c4152cf1659,6974892348d53c4152cf1421,2026-01-24T14:31:43.612Z,unreal_1769245303612,1,5,5,0,0,0,12527.269805233778,30.5,1,0,false,6974892348d53c4152cf1421,unreal_1769245303612,2026-01-24T14:31:43.612Z,1,5,5,0,0,0,12527.269805233778,30.5,1,0,0,0
